Station;RoundingTrips
Featherbed Ln & Nelson Ave;0
Flatbush Ave & Eastern Pkwy;0
Flatbush Ave & Ocean Ave;0
Flushing Ave & Vanderbilt Ave;0
Flushing Ave & Woodward Ave;0
Forest Ave & Summerfield St;0
Forsyth St & Broome St;0
Forsyth St & Canal St;0
Forsyth St\t& Grand St;0
Fort Washington Ave & W 173 St;0
Fort Washington Ave & W 183 St;0
Franklin Ave & E 169 St;0
Franklin Ave & Myrtle Ave;0
Franklin Ave & St Marks Ave;0
Franklin St & Dupont St;0
Franklin St & W Broadway;0
Frederick Douglass Blvd & Harlem River Dr;0
Frederick Douglass Blvd & W 112 St;0
Frederick Douglass Blvd & W 115 St;0
Frederick Douglass Blvd & W 117 St;0
Frederick Douglass Blvd & W 129 St;0
Frederick Douglass Blvd & W 139 St;0
Frederick Douglass Blvd & W 145 St;0
Freeman St & Reverend James A Polite Ave;0
Freeman St & Southern Blvd;0
Front St & Gold St;0
Front St & Jay St;0
Frost St & Debevoise Ave;0
Frost St & Meeker Ave;0
Ft. Hamilton Pkwy & E 2 St;0
Ft. Hamilton Pkwy & E 5 St;0
Ft. Washington Ave & W 190 St;0
Fulton Ave & E 168 St;0
Fulton Ave & E 172 St;0
Fulton Ave & St. Paul's Pl;0
Fulton St & Adams St;0
Fulton St & Broadway;0
Fulton St & Clermont Ave;0
Fulton St & Irving Pl;0
Fulton St & Saratoga Ave;0
Fulton St & Utica Ave;0
Fulton St & Waverly Ave;0
Fulton St & William St;0
Gansevoort St & Hudson St;0
Garfield Pl & 8 Ave;0
Garrison Ave & Manida St;0
George St & Wilson Ave;0
Gerard Ave & E 146 St;0
Gerard Ave & E 164 St;0
Gerard Ave & E 165 St;0
Gerard Ave & McClellan St;0
Goble Pl & Macombs Rd;0
Goulden Ave & Bedford Park Blvd W;0
Goulden Ave & W 197 St;0
Goulden Ave & W 205 St;0
Graham Ave & Conselyea St;0
Graham Ave & Grand St;0
Graham Ave & Herbert St;0
Graham Ave & Withers St;0
Gramercy Park N & Gramercy Park E;0
Grand Army Plaza & Central Park S;0
Grand Army Plaza & Plaza St West;0
Grand Ave & Bergen St;0
Grand Ave & W 181 St;0
Grand Ave & W Fordham Rd;0
Grand Concourse & E 144 St;0
Grand Concourse & E 156 St;0
Grand Concourse & E 161 St;0
