J;F;M;A;M;J;J;A;S;O;N;D;Station
0;0;0;0;0;0;0;0;0;7750;6583;0;8 Ave & W 38 St
0;0;0;0;0;0;0;0;0;6045;5195;0;8 Ave & W 49 St
0;0;0;0;0;0;0;0;0;5134;4080;0;8 Ave & W 52 St
0;0;0;0;0;0;0;0;0;587;466;0;8 St & Astoria Blvd
0;0;0;0;0;0;0;0;0;7242;5595;0;9 Ave & W 18 St
0;0;0;0;0;0;0;0;0;32;25;0;9 Ave & W 204 St
0;0;0;0;0;0;0;0;0;34;39;0;9 Ave & W 219 St
0;0;0;0;0;0;0;0;0;8772;6853;0;9 Ave & W 22 St
0;0;0;0;0;0;0;0;0;0;1281;0;9 Ave & W 39 St
0;0;0;0;0;0;0;0;0;6202;4549;0;9 Ave & W 45 St
0;0;0;0;0;0;0;0;0;651;527;0;9 St & 44 Rd
0;0;0;0;0;0;0;0;0;149;108;0;Academy St & Nagle Ave
0;0;0;0;0;0;0;0;0;1308;960;0;Adam Clayton Powell Blvd & W 115 St
0;0;0;0;0;0;0;0;0;1648;1357;0;Adam Clayton Powell Blvd & W 118 St
0;0;0;0;0;0;0;0;0;1834;1445;0;Adam Clayton Powell Blvd & W 123 St
0;0;0;0;0;0;0;0;0;2312;1819;0;Adam Clayton Powell Blvd & W 126 St
0;0;0;0;0;0;0;0;0;1079;779;0;Adam Clayton Powell Blvd & W 130 St
0;0;0;0;0;0;0;0;0;982;805;0;Adam Clayton Powell Blvd & W 132 St
0;0;0;0;0;0;0;0;0;1561;1233;0;Adam Clayton Powell Blvd & W 138 St
0;0;0;0;0;0;0;0;0;1159;837;0;Adam Clayton Powell Blvd & W 141 St
0;0;0;0;0;0;0;0;0;862;793;0;Adam Clayton Powell Blvd & W 151 St
0;0;0;0;0;0;0;0;0;1240;1062;0;Adams St & Prospect St
0;0;0;0;0;0;0;0;0;2797;2150;0;Adelphi St & Myrtle Ave
0;0;0;0;0;0;0;0;0;653;570;0;Albany Ave & Fulton St
0;0;0;0;0;0;0;0;0;0;63;0;Albany Ave & Park Pl
0;0;0;0;0;0;0;0;0;3105;2424;0;Albany St & Greenwich St
0;0;0;0;0;0;0;0;0;1476;1692;0;Albee Square W & Fulton St
0;0;0;0;0;0;0;0;0;348;231;0;Albemarle Rd & McDonald Ave
0;0;0;0;0;0;0;0;0;403;298;0;Alexander Ave & E 134 St
0;0;0;0;0;0;0;0;0;5111;4038;0;Allen St & Hester St
0;0;0;0;0;0;0;0;0;5535;4366;0;Allen St & Rivington St
0;0;0;0;0;0;0;0;0;5855;4569;0;Allen St & Stanton St
0;0;0;0;0;0;0;0;0;0;1223;0;Amsterdam Ave & W 119 St
0;0;0;0;0;0;0;0;0;1999;519;0;Amsterdam Ave & W 119 St (2)
0;0;0;0;0;0;0;0;0;1187;1014;0;Amsterdam Ave & W 125 St
0;0;0;0;0;0;0;0;0;474;464;0;Amsterdam Ave & W 131 St
0;0;0;0;0;0;0;0;0;779;1084;0;Amsterdam Ave & W 136 St
0;0;0;0;0;0;0;0;0;616;604;0;Amsterdam Ave & W 152 St
0;0;0;0;0;0;0;0;0;424;414;0;Amsterdam Ave & W 156 St
0;0;0;0;0;0;0;0;0;382;359;0;Amsterdam Ave & W 162 St
0;0;0;0;0;0;0;0;0;361;325;0;Amsterdam Ave & W 167 St
0;0;0;0;0;0;0;0;0;275;259;0;Amsterdam Ave & W 172 St
0;0;0;0;0;0;0;0;0;216;208;0;Amsterdam Ave & W 175 St
0;0;0;0;0;0;0;0;0;209;152;0;Amsterdam Ave & W 180 St
0;0;0;0;0;0;0;0;0;235;200;0;Amsterdam Ave & W 183 St
0;0;0;0;0;0;0;0;0;203;222;0;Amsterdam Ave & W 186 St
0;0;0;0;0;0;0;0;0;150;113;0;Amsterdam Ave & W 189 St
0;0;0;0;0;0;0;0;0;3332;3247;0;Amsterdam Ave & W 66 St
0;0;0;0;0;0;0;0;0;5799;6258;0;Amsterdam Ave & W 73 St
0;0;0;0;0;0;0;0;0;6248;5349;0;Amsterdam Ave & W 79 St
0;0;0;0;0;0;0;0;0;476;0;0;Amsterdam Ave & W 82 St
0;0;0;0;0;0;0;0;0;268;367;0;Anderson Ave & W 164 St
0;0;0;0;0;0;0;0;0;125;147;0;Andrew Ave N & Hall of Fame Tce
0;0;0;0;0;0;0;0;0;88;67;0;Andrews Ave S & W 179 St
0;0;0;0;0;0;0;0;0;648;556;0;Anthony Ave & E 175 St
0;0;0;0;0;0;0;0;0;1253;586;0;Anthony Ave & E Tremont Ave
0;0;0;0;0;0;0;0;0;134;93;0;Aqueduct Ave & North St
0;0;0;0;0;0;0;0;0;0;178;0;Aqueduct Ave & W 190 St
