Station;RoundingTrips
Cégep Marie-Victorin;641
Place Rodolphe-Rousseau (Gohier / Édouard-Laurin);639
Fullum / Ontario;638
Métro Georges-Vanier (St-Antoine / Canning);634
Square Viger (Berri / Viger);634
Sanguinet / Ste-Catherine;633
Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny);632
Louis-Hébert / St-Zotique;632
King / de la Commune;631
Métro Beaudry (Beaudry / Ste-Catherine);630
Ste-Catherine / St-Mathieu;628
Place Longueuil;625
St-Urbain / de la Gauchetière;620
du Havre / de Rouen;619
Querbes / Ball;619
Victoria Hall;617
Richmond / des Bassins;615
Melville / de Maisonneuve;614
St-Hubert / Laurier;612
Grand Boulevard / Sherbrooke;611
de Bleury / de Maisonneuve;608
Métro Beaubien (de Chateaubriand / Beaubien);608
Villeneuve / de l'Hôtel-de-Ville;608
Wolfe / René-Lévesque;608
Casgrain / St-Viateur;606
Parc du Mail (Bois de Coulonges / du Mail);606
Alexandre-DeSève / Ste-Catherine;605
Montmorency / Richardson;597
Milton / du Parc;594
Métro Peel (de Maisonneuve / Stanley);594
Métro Pie-IX (Pierre-de-Coubertin / De La Salle);592
de l'Esplanade / Fairmount;591
Crescent / René-Lévesque;590
Dorion / Gauthier;590
Parc des Vétérans (des Vétérans / Broadway);589
Graham / Wicksteed;588
Métro Parc  (Hutchison / Ogilvy);588
Boyer / Beaubien;586
Panet / Ste-Catherine;585
de Gaspé / Dante;584
Champdoré / de Lorimier;582
Jeanne-Mance / St-Viateur;582
de Castelnau / Lajeunesse;579
Bernard / St-Urbain;577
Bourbonnière / du Mont-Royal;577
St-Catherine / St-Laurent;577
Logan / d'Iberville;575
Waverly / St-Zotique;575
de Mentana / Rachel;574
Marcil / Sherbrooke;572
de l'Hôtel-de-Ville / Ste-Catherine;570
de la Côte St-Antoine / Royal;568
McCulloch / de la Côte Ste-Catherine;568
Métro Cadillac (Cadillac / Sherbrooke);568
Poupart / Ontario;568
Parc Jeanne Mance (monument sir George-Etienne Cartier);567
de la Côte St-Paul / St-Ambroise;566
Métro Mont-Royal (Rivard / du Mont-Royal);565
Métro Fabre (Marquette / Jean-Talon);563
Parc Ernest-Rouleau (Gouin);563
Métro Laurier (Rivard / Laurier);562
Campus MIL (Outremont / Thérèse-Lavoie Roux);559
Plessis / René-Lévesque;558
Parc Aimé-Léonard (Gouin / Ste-Gertrude);555
Parc Armand-Bombardier (Perras / Armand-Bombardier);554
Métro Champ-de-Mars (Viger / Sanguinet);553
de Gaspé / Marmier;552
du Souvenir / Chomedey;552
de Laprairie / Centre;550
de la Côte St-Antoine / Argyle;548
Maguire / St-Laurent;545
Victoria / 18e avenue Lachine;544
Ste-Catherine / Bishop;543
François-Boivin / Bélanger;541
Parc Sauvé (Balzac / de Bayonne);541
Centre des loisirs (Tassé / Grenet);540
Christophe-Colomb / St-Joseph;540
Parc Lalancette (de Rouen / Valois);538
St-Hubert / St-Joseph;538
Pierre-Péladeau / du Centropolis;537
Place d'Youville / McGill;536
Ball / Querbes;534
Bernard / Jeanne-Mance;533
BAnQ (Berri);532
Mozart / St-Laurent;532
Émile-Duployé / Sherbrooke;531
Place Émilie-Gamelin (St-Hubert / de Maisonneuve);529
Aylmer / Ste-Catherine;526
Métro Villa-Maria (de Monkland / Décarie);526
Parc Labelle (LaSalle / Henri-Duhamel);526
Querbes / Laurier;526
Turgeon / Notre-Dame;526
Newman / Senkus;525
Queen / Wellington;525
Beaubien / 8e avenue;522
de la Pépinière / Pierre-de-Coubertin;522
Bibliothèque et Complexe aquatique Rosemont (9e avenue / Rosemont);520
Parc Hébert (Colbert / Provencher);520
St-Dominique / Rachel;520
St-Christophe / René-Lévesque;519
Saint-Viateur / Casgrain;515
Square Victoria (Viger / du Square-Victoria);515
Omer-Lavallée / du Midway;514
Chambord / Beaubien;513
Palm / St-Rémi;513
Parc Hébert (Provencher / Buies);511
Fabre / Beaubien;509
