Station;StartedTrips
E 161 St & River Ave;1689
Suydam St & Broadway;1678
Banker St & Meserole Ave;1673
45 Rd & 11 St;1668
Pulaski St & Marcus Garvey Blvd;1663
Amsterdam Ave & W 136 St;1652
Willoughby Ave & Walworth St;1648
Broadway & W 131 St;1643
35 St & 30 Ave;1638
Adam Clayton Powell Blvd & W 141 St;1636
Stockholm St & Wilson Ave;1636
Bus Slip & State St;1634
Wilson Ave & Troutman St;1632
Henry St & Middagh St;1630
Front St & Gold St;1627
28 St & 36 Ave;1611
Calyer St & Jewel St;1611
Grand Concourse & E 167 St;1611
Old Fulton St;1607
River Ter & Warren St;1603
Carroll St & Bond St;1602
Morgan Ave & Lombardy St;1601
Edgecombe Ave & W 145 St;1600
W 168th S & Fort Washington Ave;1599
18 St & 27 Ave;1595
3 Ave & E 112 St;1595
Lenox Ave & W 140 St;1595
Wyckoff Av & Jefferson St;1595
Avenue D & E 12 St;1591
Brooklyn Bridge Park - Pier 2;1590
E 128 St & Madison Ave;1587
Myrtle Ave & Lewis Ave;1586
2 Ave & E 122 St;1573
Frost St & Meeker Ave;1568
Monroe St & Classon Ave;1562
Irving Ave & Jefferson St;1557
Adam Clayton Powell Blvd & W 130 St;1555
3 Ave & E 100 St;1551
E 114 St & 1 Ave;1550
Putnam Ave & Throop Ave;1550
Grove St & Broadway;1549
Nassau St\t& Duffield St;1546
21 St & Hoyt Ave S;1545
30 Ave & 41 St;1542
Union St & Nevins St;1542
Division Ave & Hooper St;1541
Columbia St & Degraw St;1533
Myrtle Ave & Marcy Ave;1532
2 Ave & E 125 St;1521
21 St & 31 Dr;1520
Adam Clayton Powell Blvd & W 132 St;1520
Nassau St & Navy St;1517
Congress St & Hicks St;1510
E 115 St & Madison Ave;1504
Marcy Ave & Lafayette Ave;1502
Pier 40 - Hudson River Park;1493
Concord St & Bridge St;1486
E 63 St & 3 Ave;1478
E 58 St & 1 Ave (NE Corner);1477
Morris Ave & E 163 St;1459
Carlton Ave & Park Ave;1458
River Ave & E 151 St;1458
Steinway St & 21 Ave;1456
Engert Ave & McGuinness Blvd;1447
3 St & Hoyt St;1440
Vernon Blvd & 31 Ave;1436
Calyer St & Guernsey St;1435
Pleasant Ave & E 120 St;1428
11 Ave & Prospect Ave;1422
Carlton Ave & St Marks Ave;1421
5 Av & W 139 St;1417
Waterbury St & Stagg St;1416
Broadway & W 168 St;1413
24 St & 41 Ave;1412
35 Ave & 10 St;1412
48 St & Broadway;1406
34th Ave & Vernon Blvd;1401
Central Ave & Starr Street;1401
Crescent St & 35 Ave;1396
Wadsworth Ave & W 179 St;1394
Nostrand Ave & Myrtle Ave;1391
Union Ave & Wallabout St;1384
3 Ave & Carroll St;1381
5 St & Market St;1381
Knickerbocker Ave & George St;1381
Willoughby Ave & Wyckoff Ave;1374
Grand Concourse & E 144 St;1370
Sherman Ave & E 166 St;1370
Sharon St & Olive St;1362
Vernon Blvd & 10 St;1359
Sterling St & Bedford Ave;1356
31 St & Astoria Blvd;1353
Sheridan Ave & E 168 St;1353
E 132 St & Madison Ave;1345
Ditmars Blvd & 43 St;1335
Van Brunt St & Van Dyke St;1335
Marcus Garvey Blvd & Macon St;1334
Graham Ave & Herbert St;1330
21 St & 4 Ave;1329
31 St & 21 Ave;1327
49 Ave & 21 St;1324
31 St & Hoyt Ave N;1323
Laight St & Hudson St;1321
Verona Pl & Fulton St;1317
31 St & Northern Blvd;1316
Pearl St & Hanover Square;1314
Lincoln Ave & E 138 St;1312
Center Blvd & 48 Ave;1308
Roosevelt Island Tramway;1302
Broadway & W 133 St;1299
3 Ave & E 170 St;1298
Lewis Ave & Kosciuszko St;1296
Greene Av & Myrtle Av;1295
W 135 St & Lenox Terrace Pl;1286
Adam Clayton Powell Blvd & W 151 St;1283
Hudson Blvd E & W 36 St;1278
W 146 St & Broadway;1269
19 St & 24 Ave;1265
3 Ave & E 169 St;1265
36 St & Ditmars Blvd;1256
Park Ave & Marcus Garvey Blvd;1254
34 St & 35 Ave;1253
